날짜,요일,배달건수,강수량(mm),평균기온(℃),최고기온(℃),최저기온(℃)
20200101,수,273,0.1,-2.2,0.3,-6.5
20200102,목,183,,1,3.8,-0.7
20200103,금,247,,-0.1,4.6,-3.4
20200104,토,284,,1.2,6.1,-2.8
20200105,일,226,,1.3,6.6,-3.2
20200106,월,188,1.8,3.1,4.6,0.6
20200107,화,236,46.3,6.3,7.7,4.2
20200108,수,208,11.6,2.4,8.9,-0.4
20200109,목,214,,-1.2,2,-3.1
20200110,금,276,,-0.6,4.2,-4.3
20200111,토,311,,-0.1,3.9,-2.6
20200112,일,258,,-1,2.8,-3.5
20200113,월,184,,-2.9,0.2,-4.7
20200114,화,202,,-2.3,2.6,-5.7
20200115,수,217,,-2.7,2.2,-6.4
20200116,목,230,,-1.7,3.2,-5.5
20200117,금,271,,-0.6,4.9,-4.8
20200118,토,306,,0.3,5.9,-4.1
20200119,일,238,0.6,1.9,5.3,-0.4
20200120,월,188,,0.7,5.5,-3.3
20200121,화,203,,-0.4,5.5,-5.6
20200122,수,218,,3,7.8,-0.1
20200123,목,283,,4.6,9.9,0
20200124,금,142,,2.8,7.4,-1.3
20200125,토,33,,4.3,8.8,0.6
20200126,일,206,,5.5,11.9,-0.2
20200127,월,231,0.1,5.9,7.5,4.8
20200128,화,159,0,6.8,9.9,4.3
20200129,수,181,,6,9.6,3.2
20200130,목,186,,5.2,10.4,1.4
20200131,금,278,0,3.9,8.9,1.4
20200201,토,359,,2.6,7.6,-1.2
20200202,일,256,,1.5,5.3,-2.1
20200203,월,166,0,-0.4,3,-2.9
20200204,화,197,1.7,-1.6,3.9,-6
20200205,수,224,,-8.3,-4.9,-11
20200206,목,237,,-6.4,0.4,-11.8
20200207,금,295,0,-1.7,2.2,-7.2
20200208,토,322,0,-0.1,3.7,-2.3
20200209,일,282,0,-0.5,4.1,-5.6
20200210,월,167,0,4,9.6,-0.7
20200211,화,195,,6.8,14.6,-0.5
20200212,수,279,6.7,7.4,8.2,6.5
20200213,목,219,,6.5,8.7,4.9
20200214,금,321,,8.1,14.7,3.2
20200215,토,317,2,9.8,15.6,6.2
20200216,일,307,13.4,-1.4,7.7,-4.3
20200217,월,184,1,-5.9,-3.9,-7.1
20200218,화,206,,-4.1,1.3,-8.3
20200219,수,204,,1,6.4,-4.4
20200220,목,207,,4.6,10.8,-0.6
20200221,금,294,4.2,6.7,10.9,2.1
20200222,토,350,3.1,4,7.9,0
20200223,일,273,,2.5,8,-2.5
20200224,월,153,,7,12.2,0.8
20200225,화,234,16.6,6.7,9.4,4.7
20200226,수,191,0,6.4,10.4,2.8
20200227,목,197,,6.1,12.5,1.3
20200228,금,317,3.9,4.5,5.9,3.6
20200229,토,296,0.5,7.7,13,4.5
20200301,일,189,0.2,5.8,10.1,3.2
20200302,월,110,0,3.4,7.6,0
20200303,화,126,,4.8,10.5,0.3
20200304,수,153,0,2.2,4.6,-1.3
20200305,목,156,,1.4,6.3,-2.8
20200306,금,243,,3.7,10.1,-2.5
20200307,토,248,,7,14.2,1.3
20200308,일,186,,9.3,16.9,2.3
20200309,월,104,,11.1,17.6,4.8
20200310,화,167,11.8,6.4,10.8,3.2
20200311,수,153,,3.8,8.3,0
20200312,목,161,,6.8,13.3,0.2
20200313,금,234,0.5,4.9,8.7,-0.1
20200314,토,261,,3.6,8.6,-2.7
20200315,일,182,,4,8.5,0.2
20200316,월,111,,3.6,9.1,-2.1
20200317,화,135,,6.6,12.3,3.1
20200318,수,143,,10,17,2.7
20200319,목,155,0,9.1,12.1,5.8
20200320,금,220,,8.8,14,3.1
20200321,토,251,,12.8,19.5,7.9
20200322,일,190,,11,16.5,6.1
20200323,월,103,,10.6,17,5.4
20200324,화,132,,11.4,17.9,5.3
20200325,수,184,,12.5,19.2,6.1
20200326,목,141,1.8,14.8,20.6,8.1
20200327,금,179,2,11.9,15.8,6.7
20200328,토,278,,7.7,12.8,4.5
20200329,일,180,,8.7,16.1,1.3
20200330,월,109,,10.2,16.9,4.3
20200331,화,149,,11.9,18.6,4.7
20200401,수,197,,11.3,17.4,6
20200402,목,194,,9.3,15.5,3.4
20200403,금,256,,10,16.3,5.3
20200404,토,305,,8.9,13.3,5
20200405,일,226,,7.2,13.7,1.9
20200406,월,142,,9.3,16.1,2.9
20200407,화,165,,10.6,16.8,6
20200408,수,184,,9.4,14.2,5.2
20200409,목,179,,8.9,14.7,4.3
20200410,금,284,,10.7,16.8,5.8
20200411,토,309,,9.9,16,6.2
20200412,일,270,,9.9,15.6,4.4
20200413,월,153,,12.4,20.4,4.3
20200414,화,242,,13,19.6,7.6
20200415,수,339,,13.2,20.2,7.2
20200416,목,190,,16,23.8,8.9
20200417,금,300,6.5,12.5,15.4,10.4
20200418,토,317,,13.5,19.6,8.5
20200419,일,288,10.3,12.3,15.5,9.5
20200420,월,161,0.1,10,13.1,7.6
20200421,화,186,,7.4,10.4,4.8
20200422,수,203,0,6,8.3,4.1
20200423,목,207,,7.9,12.8,2.9
20200424,금,308,,9.9,14.3,4.1
20200425,토,349,,13.1,17.1,9.9
20200426,일,302,,12.3,19,6.8
20200427,월,175,,12.9,18.3,8.7
20200428,화,203,,13.9,19.9,7.8
20200429,수,285,,14.9,21,9.3
20200430,목,306,,17.1,23.4,9.3
20200501,금,221,,20.2,26.2,16.4
20200502,토,213,0,20.3,23.9,18
20200503,일,198,0,21.8,27.4,17
20200504,월,206,,20.2,25.3,14.8
20200505,화,306,,16,19.3,13.1
20200506,수,168,,19.4,27.6,11.1
20200507,목,186,,20.7,26.5,14.9
20200508,금,387,2.3,19.9,27.3,14.3
20200509,토,295,24.4,14.2,16.8,12.7
20200510,일,212,1.3,14.4,16.6,12.8
20200511,월,134,3.4,16.5,22,12.4
20200512,화,159,0.7,14.3,18.9,10.5
20200513,수,170,,16.1,21.8,10.2
20200514,목,184,,19.3,25.4,12.4
20200515,금,317,12,16.1,20.2,14.1
20200516,토,277,2.5,16.7,20.3,15
20200517,일,210,0,19.1,24.9,14.6
20200518,월,166,29.8,19.1,26.8,13.2
20200519,화,179,19,13,17.1,10.1
20200520,수,171,0,14.4,20.1,9.2
20200521,목,179,,17.4,22.9,10.9
20200522,금,231,0,18.5,22.7,14.8
20200523,토,297,0,20.1,25,16.6
20200524,일,237,14.5,17.1,20.2,14.3
20200525,월,141,,16.6,21.3,13.7
20200526,화,162,1.5,16.2,22.9,12.7
20200527,수,187,,17.4,23.9,11.8
20200528,목,174,0,18.7,23.4,14.2
20200529,금,235,,20.7,27.6,14.6
20200530,토,290,,22.6,30,16.5
20200531,일,226,1,21.2,28,17.6
20200601,월,147,0.4,19.7,24.5,16.6
20200602,화,191,2,17.9,21.8,14.8
20200603,수,179,,22,28.4,17.6
20200604,목,186,0.2,21.9,26.5,19.7
20200605,금,262,,23,28.7,18.4
20200606,토,321,,24.6,30.9,19.2
20200607,일,240,,22.7,29.2,19.2
20200608,월,161,,25,32,19.8
20200609,화,181,,26.7,32.8,20.3
20200610,수,210,6.2,25.8,32.1,22.5
20200611,목,205,0,26.1,31.6,21.7
20200612,금,254,,24.7,27.6,21.6
